0,1,2,3,4,5,6
"Year Ended June 30,",nan,2024,nan,2023,nan,2022
Stock-based compensation expense,$,"10,734",$,"9,611",$,"7,502"
Income tax benefits related to stock-based compensation,nan,"1,826",nan,"1,651",nan,"1,293"
