0,1,2,3,4,5,6
Customer-related,nan,nan,$,"2,610",nan,9 years
Technology-based,nan,nan,nan,"1,540",nan,5 years
Marketing-related,nan,nan,nan,215,nan,4 years
Total,nan,nan,$,"4,365",nan,7 years
NOTE 9 — GOODWILL,nan,nan,nan,nan,nan,nan
Changes in the carrying amount of goodwill were as follows:,nan,nan,nan,nan,nan,nan
"June 30, Acquisition","June 30,",nan,nan,nan,nan,"June 30,"
(In millions) 2022 s Other,2023,nan,Acquisitions,Other,nan,2024
Productivity and,nan,nan,nan,nan,nan,nan
Business,nan,nan,nan,nan,nan,nan
"Processes $ 24,811   $ 11   $ (47 )","$ 24,775",$,0,$ 2,$,"24,777"
"Intelligent Cloud 30,182  223  64","30,469",nan,0,(28 ),nan,"30,441"
More Personal,nan,nan,nan,nan,nan,nan
"Computing 12,531  0  111","12,642",nan,"51,235 (a)",125 (a),nan,"64,002"
"Total $ 67,524  $ 234   $ 128","$ 67,886",$,"51,235",$ 99,"$ 119,220",nan
