0,1,2,3,4
(In millions),nan,nan,nan,nan
nan,nan,nan,"June 30,",nan
Risk Categories,Hypothetical Change,nan,2024,Impact
Foreign currency – Revenue,10% decrease in foreign exchange rates,$,"(9,605 )",Earnings
Foreign currency – Investments,10% decrease in foreign exchange rates,nan,(38 ),Fair Value
Interest rate,100 basis point increase in U.S. treasury interest,nan,nan,nan
nan,rates,nan,"(1,343 )",Fair Value
Credit,100 basis point increase in credit spreads,nan,(318 ),Fair Value
Equity,10% decrease in equity market prices,nan,"(1,078 )",Earnings
