0,1,2
"Year Ending June 30,",nan,nan
2025,$,"5,892"
2026,nan,"4,471"
2027,nan,"2,793"
2028,nan,"1,909"
2029,nan,"1,728"
Thereafter,nan,"10,804"
Total,$,"27,597"
