0,1,2,3,4
(In millions),nan,Cost Basis,nan,Fair Value
"June 30, 2024",nan,nan,nan,nan
Due in one year or less,$,"19,815",$,"19,596"
Due after one year through five years,nan,"38,954",nan,"36,779"
Due after five years through 10 years,nan,"8,028",nan,"7,242"
Due after 10 years,nan,"1,412",nan,"1,282"
Total,$,"68,209",$,"64,899"
