0,1,2,3,4,5
(In millions),nan,nan,nan,nan,nan
"Year Ended June 30,",2024,nan,2023,nan,2022
Revenue,nan,nan,nan,nan,nan
Productivity and Business Processes $,"77,728",$,"69,274",$,"63,364"
Intelligent Cloud,"105,362",nan,"87,907",nan,"74,965"
More Personal Computing,"62,032",nan,"54,734",nan,"59,941"
Total $,"245,122",$,"211,915",$,"198,270"
Operating Income,nan,nan,nan,nan,nan
Productivity and Business Processes $,"40,540",$,"34,189",$,"29,690"
Intelligent Cloud,"49,584",nan,"37,884",nan,"33,203"
More Personal Computing,"19,309",nan,"16,450",nan,"20,490"
Total $,"109,433",$,"88,523",$,"83,383"
No sales to an individual customer or country other than the United States accounted for more than 10% of revenue fo,nan,nan,nan,nan,nan
"fiscal years 2024, 2023, or 2022. Revenue, classified by the major geographic areas in which our customers wer",nan,nan,nan,nan,nan
"located, was as follows:",nan,nan,nan,nan,nan
(In millions),nan,nan,nan,nan,nan
"Year Ended June 30,",2024,nan,2023,nan,2022
United States (a) $,"124,704",$,"106,744",$,"100,218"
Other countries,"120,418",nan,"105,171",nan,"98,052"
Total $,"245,122",$,"211,915",$,"198,270"
