0,1,2,3,4,5,6,7,8
nan,nan,"March 30,",nan,"April 1,",nan,"March 30,",nan,"April 1,"
nan,nan,2024,nan,2023,nan,2024,nan,2023
ncome,$,"23,636",$,"24,160",$,"57,552",$,"54,158"
r comprehensive income/(loss):,nan,nan,nan,nan,nan,nan,nan,nan
"Change in foreign currency translation, net of tax",nan,(322),nan,(95),nan,(14),nan,(109)
"Change in unrealized gains/losses on derivative instruments,",nan,nan,nan,nan,nan,nan,nan,nan
net of tax:,nan,nan,nan,nan,nan,nan,nan,nan
Change in fair value of derivative instruments,nan,456,nan,(13),nan,(75),nan,"(1,001)"
Adjustment for net (gains)/losses realized and included,nan,nan,nan,nan,nan,nan,nan,nan
in net income,nan,232,nan,(191),nan,(591),nan,"(1,957)"
Total change in unrealized gains/losses on,nan,nan,nan,nan,nan,nan,nan,nan
derivative instruments,nan,688,nan,(204),nan,(666),nan,"(2,958)"
