Line Item,2023,2022,2021,2020,Category,Confidence
This change in accounting estimate will be effective beginning fiscal year,2023.0,0.0,0.0,0.0,Other,0.4
We had previously increased the estimated useful lives of both server and network equipment in July,2020.0,0.0,0.0,0.0,Net Income,0.4
and content such as Office,365.0,0.0,0.0,0.0,Other,0.4
PART II Item,8.0,0.0,0.0,0.0,Other,0.4
PART II Item,8.0,0.0,0.0,0.0,Other,0.4
PART II Item,8.0,0.0,0.0,0.0,Other,0.4
