Line Item,2023,Category,Confidence
Year Ended June,30.0,Other,0.2
Hedged items,50.0,Other,0.2
Excluded from effectiveness assessment Interest rate contracts Derivatives,23.0,Other,0.2
Hedged items,25.0,Other,0.2
Designated as Cash Flow Hedging Instruments Foreign exchange contracts Amount reclassified from accumulated other comprehensive loss,48.0,Other,0.2
Not Designated as Hedging Instruments Foreign exchange contracts,73.0,Other,0.2
Equity contracts,177.0,Other,0.2
