Line Item,2026,2025,2024,2023,Category,Confidence
PART II Item,8.0,0.0,0.0,0.0,Other,0.4
PART II Item,8.0,0.0,0.0,0.0,Other,0.4
PART II Item,8.0,0.0,0.0,0.0,Other,0.4
PART II Item,8.0,0.0,0.0,0.0,Other,0.4
