Line Item,2025,2024,2023,Category,Confidence,Parent Item
Operating cash flows from operating leases,3550.0,2706.0,2368.0,Operating,0.4,"In millions) Year Ended June 30, Cash paid for amounts included in the measurement of lease liabilities"
Operating cash flows from operating leases,3550.0,0.0,0.0,Operating,0.4,"In millions) Year Ended June 30, Cash paid for amounts included in the measurement of lease liabilities"
Operating leases,670335145268.0,0.0,0.0,Operating,0.4,"Operating cash flows from finance leases Financing cash flows from finance leases 1,2861,056 Right-of-use assets obtained in exchange for lease obligations"
