Line Item,2025,2024,2023,2022,Category,Confidence
The federal capital loss carryforwards are subject to an annual limitation and will expire in fiscal year,2025.0,0.0,0.0,0.0,Other,0.4
PART II Item,8.0,0.0,0.0,0.0,Other,0.4
