0,1,2,3,4,5,6
Period,Purchased,nan,Per Share,or Programs,nan,or Programs
nan,nan,nan,nan,nan,nan,(In millions)
"January 1, 2024 – January 31, 2024","2,490,515",$,388.24,"2,490,515",$,"14,982"
"February 1, 2024 – February 29, 2024","2,248,517",nan,408.16,"2,248,517",nan,"14,065"
"March 1, 2024 – March 31, 2024","2,197,442",nan,416.55,"2,197,442",nan,"13,149"
nan,"6,936,474",nan,nan,"6,936,474",nan,nan
