0,1,2,3,4,5,6
(In millions),Shares,nan,Amount,Shares,nan,Amount
Fiscal Year,nan,nan,2024,nan,nan,2023
First Quarter,11,$,"3,560",17,$,"4,600"
Second Quarter,7,nan,"2,800",20,nan,"4,600"
Third Quarter,7,nan,"2,800",18,nan,"4,600"
Total,25,$,"9,160",55,$,"13,800"
