0,1,2,3,4,5,6,7,8,9,10
nan,nan,2024,nan,2023,nan,nan,2024,nan,2023,nan
General and administrative,$,"1,912",$,"1,643",16%,$,"5,363",$,"5,378",0%
As a percent of revenue,nan,3%,nan,3%,0ppt,nan,3%,nan,3%,0ppt
