0,1,2,3,4,5,6,7,8,9,10
nan,nan,2024,nan,2023,nan,nan,2024,nan,2023,nan
Sales and marketing,$,"6,207",$,"5,750",8%,$,"17,640",$,"16,555",7%
As a percent of revenue,nan,10%,nan,11%,(1)ppt,nan,10%,nan,11%,(1)ppt
