0,1,2,3,4,5,6
"(In millions, except percentages and per share",nan,Three Months Ended,Percentage,nan,Nine Months Ended,Percentage
amounts),nan,"March 31,",Change,nan,"March 31,",Change
nan,nan,2024  2023,nan,nan,2024 2023,nan
Revenue,$,"61,858  $ 52,857",17%,$,"180,395   $ 155,726",16%
Gross margin,nan,"43,353  36,729",18%,nan,"125,965  106,658",18%
Operating income,nan,"27,581  22,352",23%,nan,"81,508  64,269",27%
Net income,nan,"21,939  18,299",20%,nan,"66,100  52,280",26%
Diluted earnings per share,nan,2.94  2.45,20%,nan,8.85  6.99,27%
Adjusted gross margin (non-GAAP),nan,"43,353  36,729",18%,nan,"125,965  106,810",18%
Adjusted operating income (non-,nan,nan,nan,nan,nan,nan
GAAP),nan,"27,581  22,352",23%,nan,"81,508  65,440",25%
Adjusted net income (non-GAAP),nan,"21,939 18,299",20%,nan,"66,100  53,226",24%
Adjusted diluted earnings per share,nan,nan,nan,nan,nan,nan
(non-GAAP),nan,2.942.45,20%,nan,8.85  7.12,24%
