0,1,2
(In millions),nan,nan
"Year Ending June 30,",nan,nan
"2023 (excluding the nine months ended March 31, 2023)",$,"1,000"
2024,nan,"5,250"
2025,nan,"2,250"
2026,nan,"3,000"
2027,nan,"8,000"
Thereafter,nan,"34,356"
Total,$,"53,856"
