0,1,2,3,4
"March 31, 2023",nan,nan,nan,nan
Due in one year or less,$,"34,947",$,"34,805"
Due after one year through five years,nan,"48,237",nan,"46,168"
Due after five years through 10 years,nan,"14,143",nan,"12,698"
Due after 10 years,nan,"1,373",nan,"1,260"
Total,$,"98,700",$,"94,931"
