0,1,2,3,4,5,6
Declaration Date,Record Date,Payment Date,nan,Per Share,nan,Amount
nan,nan,nan,nan,nan,nan,(In millions)
"March 14, 2023","May 18, 2023","June 8, 2023",$,0.68,$,"5,057"
