0,1,2,3,4,5,6,7,8,9
nan,nan,2023,nan,2022,nan,2023,nan,2022,nan
Sales and marketing,$,"5,750",$,"5,595",3%,"$ 16,555",$,"15,521",7%
As a percent of revenue,nan,11%,nan,11%,0ppt,11%,nan,11%,0ppt
