0,1,2,3,4,5,6,7,8,9,10
nan,nan,2023,nan,2022,nan,nan,2023,nan,2022,nan
Research and development,$,"6,984",$,"6,306",11%,$,"20,456",$,"17,663",16%
As a percent of revenue,nan,13%,nan,13%,0ppt,nan,13%,nan,12%,1ppt
