0,1,2,3,4,5,6,7,8
nan,nan,2023.0,nan,2022.0,nan,2023,nan,2022
Operating lease cost,$,766.0,$,744.0,$,"2,112",$,"1,801"
Finance lease cost:,nan,,nan,,nan,nan,nan,nan
