0,1,2,3,4,5,6,7,8
nan,nan,2023,nan,2022,nan,2023,nan,2022
Server products and cloud services,$,"20,025",$,"17,046",$,"58,007",$,"48,498"
Office products and cloud services,nan,"12,438",nan,"11,164",nan,"35,823",nan,"33,223"
Windows,nan,"5,328",nan,"6,069",nan,"15,449",nan,"18,337"
Gaming,nan,"3,607",nan,"3,740",nan,"11,975",nan,"12,775"
LinkedIn,nan,"3,697",nan,"3,437",nan,"11,236",nan,"10,104"
Search and news advertising,nan,"3,045",nan,"2,945",nan,"9,196",nan,"8,665"
Enterprise Services,nan,"2,007",nan,"1,891",nan,"5,745",nan,"5,505"
Devices,nan,"1,282",nan,"1,835",nan,"4,160",nan,"5,606"
Other,nan,"1,428",nan,"1,233",nan,"4,135",nan,"3,692"
Total,$,"52,857",$,"49,360",$,"155,726",$,"146,405"
