0,1,2,3,4,5,6,7,8,9
"(In millions, except percentages)",nan,nan,nan,"March 31,",Change,nan,nan,"March 31,",Change
nan,nan,2023,nan,2022,nan,nan,2023,2022,nan
General and administrative,$,"1,643",$,"1,480",11%,$,"5,378","$ 4,151",30%
As a percent of revenue,nan,3%,nan,3%,0ppt,nan,3%,3%,0ppt
