Line Item,2020,2019,2018,Category,Confidence,Parent Item
Foreign exchange contracts,365.0,959.0,682.0,Other,0.4,Cash flow hedges
Foreign exchange contracts,365.0,0.0,0.0,Other,0.4,Cash flow hedges
Foreign currency debt,15.0,58.0,4.0,Other,0.4,Interest rate contracts (57) — 1 Total $308 $(959) $683 Net investment hedges
Foreign currency debt,15.0,0.0,0.0,Other,0.4,Interest rate contracts (57) — 1 Total $308 $(959) $683 Net investment hedges
Foreign exchange contracts,1553.0,116.0,482.0,Other,0.4,Cash flow hedges
Foreign exchange contracts,1553.0,0.0,0.0,Other,0.4,Cash flow hedges
