Line Item,2018,2017,2016,Category,Confidence
Hedge Total Balance,0.0,31.0,2017.0,Other,0.4
"31, 2017 ​",129.9,6.6,0.6,Other,0.4
​ $0.6 ​,1.7,125.6,127.7,Other,0.4
​ (127.7) ​,4.2,0.2,123.3,Other,0.4
income ​ ​,1.0,2.2,1.2,Revenue,0.4
​ ​ (,126.7,4.2,2.0,Other,0.4
​ ​ (,124.5,2016.0,1.0,Other,0.4
earnings,0.6,0.6,2018.0,Net Income,0.7
earnings,2.0,4.0,0.6,Net Income,0.7
earnings,0.4,5.0,0.0,Net Income,0.7
earnings,31.0,2018.0,7.2,Net Income,0.7
earnings,1.8,0.1,5.5,Net Income,0.7
