Line Item,2019,Category,Confidence
(,1.0,Other,0.2
loss carryforward of,212.8,Other,0.2
to expire in,2019.0,Other,0.2
completely expire in,2036.0,Other,0.2
revenue,652.6,Revenue,0.5
except for approximately,6.8,Other,0.2
periods ranging from,1.0,Other,0.2
from 1 to,20.0,Other,0.2
loss carryforwards of,243.5,Other,0.2
periods ranging from,1.0,Other,0.2
from 1 to,20.0,Other,0.2
