Line Item,2019,2018,Category,Confidence
December,31.0,2019.0,Other,0.4
that were derecognized and recorded as a cumulative effect adjustment to accumulated deficit upon adoption of ASC,842.0,0.0,Other,0.4
at the carrying amount of the capital lease asset and capital lease obligation as of December,31.0,2018.0,Other,0.4
