Line Item,2018,2017,2016,Category,Confidence
Currency Benefits,1.0,0.0,0.0,Other,0.4
December,31.0,2017.0,129.9,Other,0.4
December,31.0,2017.0,0.0,Other,0.4
December,31.0,2018.0,0.0,Other,0.4
