Line Item,2020,2019,2018,Category,Confidence,Parent Item
Unrealized net holding gain (loss) arising during the period ​ ​ — ​ ​ (0.1) ​ ​,0.2,0.0,0.0,Net Income,0.4,"Net gain (loss) arising during the period, net of tax ​ (4.1) ​ (15.5) ​ 4.2 Equity method investee's cash flow hedge"
Realized net gain reclassified into equity in earnings of non-consolidated entities ​ — ​ — ​,2.2,0.0,0.0,Net Income,0.7,"Net gain (loss) arising during the period, net of tax ​ (4.1) ​ (15.5) ​ 4.2 Equity method investee's cash flow hedge"
Other comprehensive income (loss) ​ 64.8 ​ (31.6) ​,124.5,0.0,0.0,Revenue,0.4,"Net gain (loss) arising during the period, net of tax ​ (4.1) ​ (15.5) ​ 4.2 Equity method investee's cash flow hedge"
"Total comprehensive loss ​ ​ (4,524.6) ​ ​ (180.7) ​ ​",14.4,0.0,0.0,Other,0.4,"Net gain (loss) arising during the period, net of tax ​ (4.1) ​ (15.5) ​ 4.2 Equity method investee's cash flow hedge"
