Line Item,2022,2021,Category,Confidence
revenue,31.0,2021.0,Revenue,0.7
revenue,322.0,0.0,Revenue,0.7
over the next,24.0,31.0,Other,0.4
"of December 31,",2021.0,65.5,Other,0.4
revenue,0.0,24.0,Revenue,0.7
expedient in ASC,606.0,10.0,Other,0.4
in ASC 606-10-,50.0,14.0,Other,0.4
or less. NOTE,3.0,19.0,Other,0.4
payable. In addition,0.0,2022.0,Other,0.4
