Line Item,2020,2019,2018,Category,Confidence
Total Balance December,31.0,2018.0,7.2,Other,0.4
$7.2 ​ $(,1.8,0.1,5.5,Other,0.4
reclassifications ​ (,16.5,15.5,0.1,Other,0.4
(0.1) ​ (,32.1,0.5,0.5,Other,0.4
0.5 Balance December,31.0,2019.0,8.8,Other,0.4
$(8.8) ​ $(,17.3,26.1,67.0,Other,0.4
​ ​ (,4.1,62.9,1.9,Other,0.4
— ​ ​,1.9,31.0,2020.0,Other,0.4
"31, 2020 ​",60.1,21.4,38.7,Other,0.4
