Line Item,2019,2018,2017,Category,Confidence
as of December,31.0,2018.0,2017.0,Other,0.4
and comprehensive income,0.0,31.0,2018.0,Revenue,0.4
Cinema Implementation Partners,0.0,31.0,2018.0,Other,0.4
"31, 2018 and",2017.0,31.0,2018.0,Other,0.4
CohnReznick LLP Roseland,0.0,18.0,2019.0,Other,0.4
