Line Item,2021,2020,2019,Category,Confidence,Parent Item
Unrealized net holding loss arising during the period ​ ​ — ​ ​ — ​ ​,0.1,0.0,0.0,Net Income,0.4,"Net gain (loss) arising during the period, net of tax ​ 12.3 ​ (4.1) ​ (15.5) Equity method investee's cash flow hedge"
Other comprehensive income (loss) ​ (67.0) ​ 64.8 ​,31.6,0.0,0.0,Revenue,0.4,"Net gain (loss) arising during the period, net of tax ​ 12.3 ​ (4.1) ​ (15.5) Equity method investee's cash flow hedge"
"Total comprehensive loss ​ ​ (1,336.8) ​ ​ (4,524.6) ​ ​",180.7,0.0,0.0,Other,0.4,"Net gain (loss) arising during the period, net of tax ​ 12.3 ​ (4.1) ​ (15.5) Equity method investee's cash flow hedge"
