Line Item,2020,2019,2018,Category,Confidence
Operations ​ December,31.0,2020.0,31.0,Other,0.4
"​ December 31,",2019.0,31.0,2018.0,Other,0.4
revenue,3.8,22.4,20.1,Revenue,0.7
revenue,1.0,3.6,6.5,Revenue,0.7
costs ​ ​,3.9,13.6,12.9,Cost,0.4
revenue,2.6,15.6,15.1,Revenue,0.7
