Line Item,2021,2020,2019,Category,Confidence
Operations ​ December,31.0,2021.0,31.0,Other,0.4
"​ December 31,",2020.0,31.0,2019.0,Other,0.4
revenue,7.8,3.8,22.4,Revenue,0.7
revenue,0.2,1.0,3.6,Revenue,0.7
costs ​ ​,10.4,3.9,13.6,Cost,0.4
revenue,4.6,2.6,15.6,Revenue,0.7
