Line Item,2023,2022,Category,Confidence
Derivative Assets Derivative Liabilities Derivative Assets Derivative Liabilities June,30.0,0.0,Other,0.4
June,30.0,0.0,Other,0.4
Designated as Hedging Instruments Foreign exchange contracts,67.0,77.0,Other,0.4
Not Designated as Hedging Instruments Foreign exchange contracts,332.0,362.0,Other,0.4
Equity contracts,400.0,95.0,Other,0.4
Other contracts,6.0,17.0,Other,0.4
Gross amounts of derivatives,805.0,551.0,Other,0.4
Gross amounts of derivatives offset in the balance sheet,202.0,130.0,Other,0.4
Cash collateral received,125.0,75.0,Other,0.4
Net amounts of derivatives,724.0,493.0,Net Income,0.4
Other current liabilities,341.0,298.0,Other,0.4
term liabilities,383.0,195.0,Other,0.4
as of June,30.0,2022.0,Other,0.4
