Line Item,2021,2020,Category,Confidence
revenue,12.0,0.0,Revenue,0.7
into forward contracts,0.0,25.0,Other,0.4
"of September 25,",2021.0,21.0,Other,0.4
interest rate swaps,0.0,25.0,Other,0.4
"of September 25,",2021.0,26.0,Other,0.4
"and September 26,",2020.0,0.0,Other,0.4
