0,1,2,3,4,5,6,7,8,9,10
nan,nan,"March 29,",nan,"March 30,",nan,nan,"March 29,",nan,"March 30,",nan
nan,nan,2025,nan,2024,Change,nan,2025,nan,2024,Change
iPhone,$,"46,841",$,"45,963",2 %,$,"115,979",$,"115,665",— %
Mac,nan,"7,949",nan,"7,451",7 %,nan,"16,936",nan,"15,231",11 %
iPad,nan,"6,402",nan,"5,559",15 %,nan,"14,490",nan,"12,582",15 %
"Wearables, Home and Accessories",nan,"7,522",nan,"7,913",(5)%,nan,"19,269",nan,"19,866",(3)%
Services,nan,"26,645",nan,"23,867",12 %,nan,"52,985",nan,"46,984",13 %
Total net sales,$,"95,359",$,"90,753",5 %,$,"219,659",$,"210,328",4 %
