0,1,2,3,4
nan,nan,nan,Shares,Approximate Dollar
nan,nan,nan,Purchased as,Value of
nan,nan,Average,Part of Publicly,Shares That May
nan,Total Number,Price,Announced,Yet Be Purchased
nan,of Shares,Paid Per,Plans or,Under the Plans or
Periods,Purchased,Share,Programs,Programs (1)
