0,1,2,3,4,5
Revenue,nan,nan,nan,nan,nan
Productivity and Business Processes,$,"69,274",$,"63,364",9%
Intelligent Cloud,nan,"87,907",nan,"74,965",17%
More Personal Computing,nan,"54,734",nan,"59,941",(9)%
Total,$,"211,915",$,"198,270",7%
Operating Income,nan,nan,nan,nan,nan
Productivity and Business Processes,$,"34,189",$,"29,690",15%
Intelligent Cloud,nan,"37,884",nan,"33,203",14%
More Personal Computing,nan,"16,450",nan,"20,490",(20)%
Total,$,"88,523",$,"83,383",6%
