0,2,3,4,5,6
"Year Ending June 30,",nan,nan,nan,nan,nan
2024,nan,nan,$,nan,"5,250"
2025,nan,nan,nan,nan,"2,250"
2026,nan,nan,nan,nan,"3,000"
2027,nan,nan,nan,nan,"8,000"
2028,nan,nan,nan,nan,0
Thereafter,nan,nan,nan,nan,"34,366"
Total,nan,nan,$,nan,"52,866"
NOTE 12 — INCOME TAXES,nan,nan,nan,nan,nan
Provision for Income Taxes,nan,nan,nan,nan,nan
The components of the provision for income taxes were as follows:,nan,nan,nan,nan,nan
(In millions),nan,nan,nan,nan,nan
"Year Ended June 30,",2023,nan,2022,nan,2021
Current Taxes,nan,nan,nan,nan,nan
U.S. federal,"$14,009",$,"8,329",$,"3,285"
U.S. state and local,"2,322",nan,"1,679",nan,"1,229"
Foreign,"6,678",nan,"6,672",nan,"5,467"
Current taxes,"$23,009",$,"16,680",$,"9,981"
Deferred Taxes,nan,nan,nan,nan,nan
U.S. federal,"$ (6,146)",$,"(4,815)",$,25
U.S. state and local,(477),nan,"(1,062 )",nan,(204 )
Foreign,564,nan,175,nan,29
Deferred taxes,"$ (6,059)",$,"(5,702)",$,(150)
Provision for income taxes,"$16,950",$,"10,978",$,"9,831"
