0,1,2,3,4,5,6
(In millions),nan,nan,nan,nan,nan,nan
"Year Ended June 30,",nan,2023,nan,2022,nan,2021
Interest and dividends income,$,"2,994",$,"2,094",$,"2,131"
Interest expense,nan,"(1,968)",nan,"(2,063 )",nan,"(2,346 )"
Net recognized gains on investments,nan,260,nan,461,nan,"1,232"
Net gains (losses) on derivatives,nan,(456),nan,(52 ),nan,17
Net gains (losses) on foreign currency remeasurements,nan,181,nan,(75 ),nan,54
"Other, net",nan,(223),nan,(32 ),nan,98
Total,$,788,$,333,$,"1,186"
