0,1,2,3,4,5
"Year Ended June 30,",2023,nan,2022,nan,2021
U.S.,"$52,917",$,"47,837",$,"34,972"
Foreign,"36,394",nan,"35,879",nan,"36,130"
Income before income taxes,"$89,311",$,"83,716",$,"71,102"
