0,1,2,3
nan,(In millions),nan,
Stock Awards,nan,nan,
"Nonvested balance, beginning of year",93   $,nan,227.59
(a),nan,nan,
Granted,56,nan,252.59
Vested,(44),nan,206.9
Forfeited,(9),nan,239.93
"Nonvested balance, end of year",96,$,250.37
