0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
(In millions),Level,nan,Basis,nan,Gains,nan,Losses,nan,Basis,ts,nan,ts,nan,ts
"June 30, 2023",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Changes in Fair,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Value Recorded,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
in Other,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Comprehensive,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Income,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Commercial,nan,nan,"16,58",nan,nan,nan,nan,nan,"16,58",nan,nan,nan,nan,nan
paper,Level 2,$,9,$,0,$,0,$,9,"$ 12,231",$,"4,358",$,0
Certificates of,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
deposit,Level 2,nan,"2,701",nan,0,nan,0,nan,"2,701","2,657",nan,44,nan,0
U.S. government,nan,nan,"65,23",nan,nan,nan,nan,nan,"61,36",nan,nan,nan,nan,nan
securities,Level 1,nan,7,nan,2,"(3,870)",nan,nan,9,"2,991",nan,"58,378",nan,0
U.S. agency,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
securities,Level 2,nan,"2,703",nan,0,nan,0,nan,"2,703",894,nan,"1,809",nan,0
Foreign,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
government,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
bonds,Level 2,nan,498,nan,1,nan,(24 ),nan,475,0,nan,475,nan,0
Mortgage- and,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
asset-backed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
securities,Level 2,nan,824,nan,1,nan,(39 ),nan,786,0,nan,786,nan,0
Corporate notes,nan,nan,"10,80",nan,nan,nan,nan,nan,"10,23",nan,nan,nan,nan,nan
and bonds,Level 2,nan,9,nan,8,nan,(583),nan,4,0,nan,"10,234",nan,0
Corporate notes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
and bonds,Level 3,nan,120,nan,0,nan,0,nan,120,0,nan,120,nan,0
Municipal,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
securities,Level 2,nan,285,nan,1,nan,(18 ),nan,268,7,nan,261,nan,0
Municipal,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
securities,Level 3,nan,103,nan,0,nan,(16 ),nan,87,0,nan,87,nan,0
Total debt,nan,nan,"99,86",nan,nan,nan,nan,nan,"95,33",nan,nan,nan,nan,nan
investments,nan,$,9,$,13,"$(4,550)",nan,$,2,"$ 18,780","$ 76,552",nan,$,0
Changes in Fair,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Value Recorded,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
in Net Income,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Equity,nan,nan,nan,nan,nan,nan,nan,nan,"10,13",nan,nan,nan,nan,nan
investments,Level 1,nan,nan,nan,nan,nan,nan,$,8,"$ 7,446",$,0,$,"2,692"
Equity,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
investments,Other,nan,nan,nan,nan,nan,nan,nan,"7,187",0,nan,0,nan,"7,187"
Total equity,nan,nan,nan,nan,nan,nan,nan,nan,"17,32",nan,nan,nan,nan,nan
investments,nan,nan,nan,nan,nan,nan,nan,$,5,"$ 7,446",$,0,$,"9,879"
Cash,nan,nan,nan,nan,nan,nan,nan,$,"8,478","$ 8,478",$,0,$,0
(a),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Derivatives, net",nan,nan,nan,nan,nan,nan,nan,nan,6,0,nan,6,nan,0
Total,nan,nan,nan,nan,nan,nan,nan,nan,"121,1",nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,$,41,"$ 34,704","$ 76,558",nan,$,"9,879"
