0,1,2,3,4,5,6,7,8,9,10,11
(In millions),Amount,nan,n,nan,Amount,nan,Amount,nan,n,nan,Amount
"June 30,",nan,nan,nan,nan,2023,nan,nan,nan,nan,nan,2022
Technology-based,"$ 11,245",$,"(7,589)",$,"3,656",$,"11,277",$,"(6,958)",$,"4,319"
Customer-related,"7,281",nan,"(4,047)",nan,"3,234",nan,"7,342",nan,"(3,171 )",nan,"4,171"
Marketing-related,"4,935",nan,"(2,473)",nan,"2,462",nan,"4,942",nan,"(2,143 )",nan,"2,799"
Contract-based,29,nan,(15),nan,14,nan,16,nan,(7 ),nan,9
Total,"$ 23,490","$(14,124)",nan,$,"9,366",$,"23,577","$ (12,279)",nan,$,"11,298"
