0,1,2,3,4,5,6
"Year Ending June 30,",nan,nan,nan,nan,nan,nan
2024,nan,nan,nan,$,nan,"2,363"
2025,nan,nan,nan,nan,nan,"1,881"
2026,nan,nan,nan,nan,nan,"1,381"
2027,nan,nan,nan,nan,nan,929
2028,nan,nan,nan,nan,nan,652
Thereafter,nan,nan,nan,nan,nan,"2,160"
Total,nan,nan,nan,$,nan,"9,366"
NOTE 11 — DEBT,nan,nan,nan,nan,nan,nan
The components of debt were as follows:,nan,nan,nan,nan,nan,nan
nan,nan,Effective,nan,nan,nan,nan
"(In millions, issuance by calendar Maturities",Stated Interest,Interest,nan,"June 30,",nan,"June 30,"
year) (calendar year),Rate,Rate,nan,2023,nan,2022
2009 issuance of $3.8 billion 203,5.20,5.24,nan,nan,nan,nan
9,%,%,$,520,$,520
2010 issuance of $4.8 billion 204,4.50,4.57,nan,nan,nan,nan
0,%,%,nan,486,nan,486
2011 issuance of $2.3 billion 204,5.30,5.36,nan,nan,nan,nan
1,%,%,nan,718,nan,718
2012 issuance of $2.3 billion 204,3.50,3.57,nan,nan,nan,nan
2,%,%,nan,454,nan,"1,204"
2013 issuance of $5.2 billion 204,3.63 4.88,3.73 4.92,nan,nan,nan,nan
2023–3,%–%,%–%,nan,"1,814",nan,"2,814"
2013 issuance of €4.1 billion 203,2.63 3.13,2.69 3.22,nan,nan,nan,nan
2028–3,%–%,%–%,nan,"2,509",nan,"2,404"
2015 issuance of $23.8 billion 205,2.70 4.75,2.77 4.78,nan,nan,nan,nan
2025–5,%–%,%–%,nan,"9,805",nan,"10,805"
2016 issuance of $19.8 billion 205,2.00 3.95,2.10 4.03,nan,nan,nan,nan
2023–6,%–%,%–%,nan,"9,430",nan,"9,430"
2017 issuance of $17.0 billion 205,2.88 4.50,3.04 4.53,nan,nan,nan,nan
2024–7,%–%,%–%,nan,"8,945",nan,"8,945"
2020 issuance of $10.0 billion 206,2.53 2.68,2.53 2.68,nan,nan,nan,nan
2050–0,%–%,%–%,"10,000",nan,nan,"10,000"
2021 issuance of $8.2 billion 206,2.92 3.04,2.92 3.04,nan,nan,nan,nan
2052–2,%–%,%–%,nan,"8,185",nan,"8,185"
Total face value,nan,nan,"52,866",nan,nan,"55,511"
Unamortized discount and,nan,nan,nan,nan,nan,nan
issuance costs,nan,nan,nan,(438),nan,(471 )
Hedge fair value adjustments,nan,nan,nan,nan,nan,nan
(a),nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,(106),nan,(68 )
Premium on debt exchange,nan,nan,nan,"(5,085)",nan,"(5,191 )"
Total debt,nan,nan,"47,237",nan,nan,"49,781"
Current portion of long-term,nan,nan,nan,nan,nan,nan
debt,nan,nan,nan,"(5,247)",nan,"(2,749 )"
Long-term debt,nan,nan,"$41,990",nan,"$ 47,032",nan
