0,1,2,3,4,5
(In millions),nan,nan,nan,nan,nan
"Year Ended June 30,",2023,nan,2022,nan,2021
Beginning unrecognized tax benefits,"$15,593",$,"14,550",$,"13,792"
Decreases related to settlements,(329),nan,(317 ),nan,(195 )
Increases for tax positions related to the current year,"1,051",nan,"1,145",nan,790
Increases for tax positions related to prior years,870,nan,461,nan,461
Decreases for tax positions related to prior years,(60),nan,(246 ),nan,(297 )
Decreases due to lapsed statutes of limitations,(5 ),nan,0,nan,(1 )
Ending unrecognized tax benefits,"$17,120",$,"15,593",$,"14,550"
