0,1,2,3,4
nan,nan,nan,"June 30,",nan
Risk Categories,Hypothetical Change,nan,2023,Impact
Foreign currency – Revenue,10% decrease in foreign exchange rates,$,"(8,122)",Earnings
Foreign currency –,10% decrease in foreign exchange rates,nan,nan,nan
Investments,nan,nan,(29),Fair Value
Interest rate,100 basis point increase in U.S. treasury,nan,nan,nan
nan,interest rates,nan,"(1,832)",Fair Value
Credit,100 basis point increase in credit spreads,nan,(354),Fair Value
Equity,10% decrease in equity market prices,nan,(705),Earnings
