0,1,2,3,4,5,6,7,8,9
"Year Ended June 30,",,nan,2023,,nan,2022,,nan,2021
First Quarter,17.0,$,"4,600",21.0,$,"6,200",25.0,$,"5,270"
Second Quarter,20.0,nan,"4,600",20.0,nan,"6,233",27.0,nan,"5,750"
Third Quarter,18.0,nan,"4,600",26.0,nan,"7,800",25.0,nan,"5,750"
Fourth Quarter,14.0,nan,"4,600",28.0,nan,"7,800",24.0,nan,"6,200"
Total,69.0,"$18,400",nan,95.0,"$ 28,033",nan,101.0,"$ 22,970",nan
