0,1,2,3,4,5,6
Fiscal Year 2023,nan,nan,nan,,nan,(In millions)
"September 20,","November 17,",nan,nan,,nan,nan
2022,2022,"December 8, 2022",$,0.68,$,"5,066"
"November 29,","February 16,",nan,nan,,nan,nan
2022,2023,"March 9, 2023",nan,0.68,nan,"5,059"
"March 14, 2023","May 18, 2023","June 8, 2023",nan,0.68,nan,"5,054"
"June 13, 2023",nan,"September 14,",nan,,nan,nan
nan,"August 17, 2023",2023,nan,0.68,nan,"5,054"
Total,nan,nan,$,2.72,$,"20,233"
Fiscal Year 2022,nan,nan,nan,,nan,nan
"September 14,",nan,nan,nan,,nan,nan
2021,"November 18, 2021","December 9, 2021",$,0.62,$,"4,652"
"December 7, 2021","February 17, 2022","March 10, 2022",nan,0.62,nan,"4,645"
"March 14, 2022","May 19, 2022","June 9, 2022",nan,0.62,nan,"4,632"
"June 14, 2022","August 18, 2022","September 8, 2022",nan,0.62,nan,"4,621"
Total,nan,nan,$,2.48,$,"18,550"
