0,1,2,3,4,5
(In millions),Amount,Life,nan,Amount,Life
"Year Ended June 30,",2023,nan,nan,2022,nan
Technology-based,$ 522,7 years,$,"2,611",4 years
Customer-related,0,0 years,nan,"2,837",9 years
Marketing-related,7,5 years,nan,233,4 years
Contract-based,12,3 years,nan,0,0 years
Total,$ 541,6 years,"$  5,681",nan,7 years
