0,1,2,3,4,5,6
nan,nan,nan,,nan,nan,(In millions)
"April 1, 2023 – April 30, 2023","5,007,656",$,287.97,"5,007,656",$,"25,467"
"May 1, 2023 – May 31, 2023","5,355,638",nan,314.26,"5,355,638",nan,"23,784"
"June 1, 2023 – June 30, 2023","4,413,960",nan,334.15,"4,413,960",nan,"22,309"
nan,"14,777,254",nan,,"14,777,254",nan,nan
