0,1,2,3,4,5,6
"(In millions, except earnings per share)",nan,nan,nan,nan,nan,nan
"Year Ended June 30,",nan,2023,nan,2022,nan,2021
Net income available for common shareholders (A),$,"72,361",$,"72,738",$,"61,271"
