0,1,2,3,4,5,6
Period,Purchased,nan,Per Share,or Programs,nan,or Programs
nan,nan,nan,nan,nan,nan,(In millions)
"October 1, 2023 – October 31, 2023","380,292",$,336.46,"380,292",$,"18,621"
"November 1, 2023 – November 30, 2023","3,653,892",nan,367.39,"3,653,892",nan,"17,279"
"December 1, 2023 – December 31, 2023","3,575,759",nan,371.85,"3,575,759",nan,"15,949"
nan,"7,609,943",nan,nan,"7,609,943",nan,nan
