0,1,2,3,4,5,6,7,8,9,10
nan,nan,2023,nan,2022,nan,nan,2023,nan,2022,nan
General and administrative,$,"1,977",$,"2,337",(15)%,$,"3,451",$,"3,735",(8)%
As a percent of revenue,nan,3%,nan,4%,(1)ppt,nan,3%,nan,4%,(1)ppt
