0,1,2,3,4,5,6,7,8
"(In millions, except percentages)",nan,nan,"December 31,",Change,nan,nan,"December 31,",Change
nan,nan,2023,2022,nan,nan,2023,2022,nan
Research and development,$,"7,142","$ 6,844",4%,$,"13,801","$ 13,472",2%
As a percent of revenue,nan,12%,13%,(1)ppt,nan,12%,13%,(1)ppt
