0,1,2,3,4,5,6,7,8
nan,nan,2023,nan,2022,nan,2023,nan,2022
Net income available for common shareholders (A),$,"21,870",$,"16,425",$,"44,161",$,"33,981"
Weighted average outstanding shares of common stock,nan,nan,nan,nan,nan,nan,nan,nan
(B),nan,"7,432",nan,"7,451",nan,"7,431",nan,"7,454"
Dilutive effect of stock-based awards,nan,36,nan,22,nan,34,nan,25
Common stock and common stock equivalents (C),nan,"7,468",nan,"7,473",nan,"7,465",nan,"7,479"
Earnings Per Share,nan,nan,nan,nan,nan,nan,nan,nan
Basic (A/B),$,2.94,$,2.20,$,5.94,$,4.56
Diluted (A/C),$,2.93,$,2.20,$,5.92,$,4.54
