0,1,2,3,4,5,6,7
Windows Commercial products and cloud,Revenue from Windows,Commercial,nan,products and,cloud,nan,"services,"
services revenue growth,comprising volume,licensing,of the,Windows,operating,nan,"system,"
nan,"Windows cloud services, and other Windows commercial offerings",nan,nan,nan,nan,nan,nan
Devices revenue growth,"Revenue from Devices,",including,"Surface,","HoloLens,",nan,and,PC
nan,accessories,nan,nan,nan,nan,nan,nan
Xbox content and services revenue growth,Revenue from Xbox,content,"and services,",comprising,nan,first-party,nan
nan,"content (such as Activision Blizzard) and third-party content, including",nan,nan,nan,nan,nan,nan
nan,games and in-game,content;,Xbox,Game,Pass and,nan,other
nan,subscriptions; Xbox,Cloud Gaming;,nan,advertising;,third-party,nan,disc
nan,royalties; and other cloud services,nan,nan,nan,nan,nan,nan
