0,1,2,3,4,5,6,7,8,9,10
nan,nan,2023,nan,2022,nan,nan,2023,nan,2022,nan
Sales and marketing,$,"6,246",$,"5,679",10%,$,"11,433",$,"10,805",6%
As a percent of revenue,nan,10%,nan,11%,(1)ppt,nan,10%,nan,11%,(1)ppt
