Line Item,2023,2022,Category,Confidence
revenue,12.0,0.0,Revenue,0.7
may use forwards,0.0,30.0,Other,0.4
"of September 30,",2023.0,19.0,Other,0.4
interest rate swaps,0.0,30.0,Other,0.4
"of September 30,",2023.0,24.0,Other,0.4
"and September 24,",2022.0,0.0,Other,0.4
