Line Item,2023,Category,Confidence
As of September,30.0,Other,0.2
"of September 30,",2023.0,Other,0.2
outstanding RSUs was,18.6,Other,0.2
weighted-average period of,2.5,Other,0.2
2.5 years. Note,12.0,Other,0.2
as of September,30.0,Other,0.2
"of September 30,",2023.0,Other,0.2
